#date	dose_E(mGy/day)	dose_B(mGy/day)
2022-02-13 20:49:54.916751	2.74E-001	2.68E-001
2022-02-13 21:06:59.926425	2.75E-001	2.50E-001
2022-02-13 21:24:04.936099	2.74E-001	2.67E-001
2022-02-13 21:41:10.945782	2.77E-001	2.55E-001
2022-02-13 21:58:16.955465	2.75E-001	2.81E-001
2022-02-13 22:15:22.965149	2.74E-001	2.65E-001
2022-02-13 22:32:29.974842	2.76E-001	2.65E-001
2022-02-13 22:49:35.984525	2.75E-001	2.57E-001
2022-02-13 23:06:36.994161	2.71E-001	2.94E-001
2022-02-13 23:23:42.003835	2.79E-001	2.65E-001
2022-02-13 23:40:47.013509	2.76E-001	2.67E-001
2022-02-13 23:57:53.023192	2.73E-001	2.71E-001
2022-02-14 00:14:59.032876	2.78E-001	2.78E-001
2022-02-14 00:32:05.042559	2.80E-001	2.75E-001
2022-02-14 00:49:11.052243	2.72E-001	2.69E-001
2022-02-14 01:06:17.061926	2.75E-001	2.67E-001
2022-02-14 01:23:23.071609	2.80E-001	2.71E-001
2022-02-14 01:40:20.081208	2.82E-001	2.72E-001
2022-02-14 01:57:25.090882	2.74E-001	2.83E-001
2022-02-14 02:14:30.100556	2.77E-001	2.71E-001
2022-02-14 02:31:34.110220	2.71E-001	2.67E-001
2022-02-14 02:48:39.119894	2.82E-001	2.71E-001
2022-02-14 03:05:44.129568	2.75E-001	2.67E-001
2022-02-14 03:22:48.139233	2.87E-001	2.55E-001
2022-02-14 03:39:53.148907	2.84E-001	2.74E-001
2022-02-14 03:56:57.158571	2.84E-001	2.79E-001
2022-02-14 04:14:01.168236	2.89E-001	2.81E-001
2022-02-14 04:31:06.177910	2.93E-001	2.84E-001
2022-02-14 04:48:11.187584	3.06E-001	2.76E-001
2022-02-14 05:05:15.197248	2.93E-001	2.69E-001
2022-02-14 05:22:19.206913	2.93E-001	2.95E-001
2022-02-14 05:39:25.216596	2.99E-001	2.69E-001
2022-02-14 05:56:31.226279	2.96E-001	2.83E-001
2022-02-14 06:13:37.235963	2.99E-001	2.69E-001
2022-02-14 06:30:43.245646	2.92E-001	2.72E-001
2022-02-14 06:47:49.255329	2.89E-001	2.72E-001
2022-02-14 07:04:55.265013	2.96E-001	2.81E-001
2022-02-14 07:22:01.274696	2.90E-001	2.73E-001
2022-02-14 07:39:07.284380	2.94E-001	2.92E-001
2022-02-14 07:56:13.294063	2.94E-001	2.57E-001
2022-02-14 08:13:19.303746	2.94E-001	2.78E-001
2022-02-14 08:30:25.313430	2.94E-001	2.81E-001
2022-02-14 08:47:13.322943	2.94E-001	2.91E-001
2022-02-14 09:04:19.332627	2.98E-001	2.88E-001
2022-02-14 09:21:25.342310	2.91E-001	2.68E-001
2022-02-14 09:38:14.351833	2.64E-001	2.75E-001
2022-02-14 09:44:12.355212	2.93E-001	2.84E-001
2022-02-14 10:01:16.364876	2.91E-001	2.71E-001
2022-02-14 10:18:22.374560	2.95E-001	2.93E-001
2022-02-14 10:35:28.384243	2.96E-001	2.83E-001
2022-02-14 10:52:34.393927	2.90E-001	2.64E-001
2022-02-14 11:09:40.403610	2.91E-001	2.84E-001
2022-02-14 11:26:46.413293	2.94E-001	2.84E-001
2022-02-14 11:43:52.422977	2.89E-001	2.76E-001
2022-02-14 12:00:58.432660	2.87E-001	2.76E-001
2022-02-14 12:18:04.442343	2.91E-001	2.65E-001
2022-02-14 12:35:10.452027	2.92E-001	2.70E-001
2022-02-14 12:52:16.461710	2.91E-001	2.68E-001
2022-02-14 13:09:22.471394	2.85E-001	2.59E-001
2022-02-14 13:26:28.481077	2.89E-001	2.78E-001
2022-02-14 13:43:34.490760	2.86E-001	2.69E-001
2022-02-14 14:00:40.500444	2.86E-001	2.79E-001
2022-02-14 14:17:46.510127	2.88E-001	2.83E-001
2022-02-14 14:34:52.519811	2.91E-001	2.82E-001
2022-02-14 14:51:58.529494	2.88E-001	2.74E-001
2022-02-14 15:09:04.539177	2.90E-001	2.57E-001
2022-02-14 15:26:10.548861	2.84E-001	2.86E-001
2022-02-14 15:43:16.558544	2.89E-001	2.83E-001
2022-02-14 16:00:22.568227	2.89E-001	2.79E-001
2022-02-14 16:17:28.577911	2.90E-001	2.97E-001
2022-02-14 16:34:34.587594	2.93E-001	2.79E-001
2022-02-14 16:51:40.597278	2.91E-001	2.77E-001
2022-02-14 17:08:46.606961	2.92E-001	2.78E-001
2022-02-14 17:25:52.616644	2.86E-001	3.02E-001
2022-02-14 17:42:58.626328	2.89E-001	2.64E-001
2022-02-14 18:00:04.636011	2.89E-001	2.89E-001
2022-02-14 18:17:10.645695	2.87E-001	2.71E-001
2022-02-14 18:34:16.655378	2.87E-001	2.73E-001
2022-02-14 18:51:22.665061	2.87E-001	2.75E-001
2022-02-14 19:08:28.674745	2.91E-001	2.83E-001
2022-02-14 19:25:34.684428	2.90E-001	2.96E-001
2022-02-14 19:42:40.694112	2.87E-001	2.70E-001
2022-02-14 19:59:12.703474	2.92E-001	2.65E-001
2022-02-14 20:11:22.710364	2.88E-001	2.62E-001
2022-02-14 20:28:27.720038	2.92E-001	2.77E-001
2022-02-14 20:45:33.729721	2.87E-001	2.79E-001
2022-02-14 21:02:39.739404	2.89E-001	2.81E-001
2022-02-14 21:19:45.749088	2.88E-001	2.71E-001
2022-02-14 21:36:51.758771	2.81E-001	2.72E-001
2022-02-14 21:53:57.768455	2.89E-001	2.89E-001
2022-02-14 22:10:59.778100	2.90E-001	2.73E-001
2022-02-14 22:23:48.785358	2.84E-001	3.02E-001
2022-02-14 22:40:52.795023	2.93E-001	2.69E-001
2022-02-14 22:57:58.804706	2.84E-001	2.65E-001
2022-02-14 23:15:04.814389	2.87E-001	2.58E-001
2022-02-14 23:32:10.824073	2.87E-001	2.85E-001
2022-02-14 23:49:16.833756	2.92E-001	2.68E-001
2022-02-15 00:06:18.843402	2.86E-001	2.66E-001
2022-02-15 00:23:23.853076	2.90E-001	2.87E-001
2022-02-15 00:40:29.862759	2.87E-001	2.90E-001
2022-02-15 00:57:35.872443	2.88E-001	3.07E-001
2022-02-15 01:14:41.882126	2.91E-001	2.89E-001
2022-02-15 01:31:47.891809	2.93E-001	2.64E-001
2022-02-15 01:48:53.901493	2.95E-001	2.74E-001
2022-02-15 02:05:53.911119	2.92E-001	2.72E-001
2022-02-15 02:22:57.920784	2.83E-001	3.10E-001
2022-02-15 02:40:02.930458	2.91E-001	2.82E-001
2022-02-15 02:57:07.940132	2.94E-001	2.86E-001
2022-02-15 03:14:11.949796	2.93E-001	2.75E-001
2022-02-15 03:31:16.959470	2.95E-001	2.77E-001
2022-02-15 03:48:21.969144	2.89E-001	2.62E-001
2022-02-15 04:05:26.978818	2.92E-001	2.78E-001
2022-02-15 04:22:30.988483	2.95E-001	2.94E-001
2022-02-15 04:39:35.998157	2.95E-001	2.73E-001
2022-02-15 04:56:40.007821	3.05E-001	2.84E-001
2022-02-15 05:13:44.017486	2.92E-001	2.61E-001
2022-02-15 05:30:49.027160	2.99E-001	2.73E-001
2022-02-15 05:47:53.036824	2.99E-001	2.81E-001
2022-02-15 06:04:57.046489	2.97E-001	2.77E-001
2022-02-15 06:22:03.056172	2.95E-001	2.52E-001
2022-02-15 06:39:09.065855	3.02E-001	2.98E-001
2022-02-15 06:56:15.075539	2.96E-001	2.92E-001
2022-02-15 07:13:14.085156	2.99E-001	2.74E-001
2022-02-15 07:30:19.094830	2.97E-001	2.66E-001
2022-02-15 07:47:23.104495	2.97E-001	2.78E-001
2022-02-15 08:04:28.114169	2.97E-001	2.87E-001
2022-02-15 08:21:32.123833	2.96E-001	2.87E-001
2022-02-15 08:38:36.133498	3.01E-001	2.80E-001
2022-02-15 08:55:40.143162	3.03E-001	2.83E-001
2022-02-15 09:12:44.152827	3.10E-001	3.00E-001
2022-02-15 09:29:48.162491	3.07E-001	2.88E-001
2022-02-15 09:46:53.172165	3.09E-001	2.97E-001
2022-02-15 10:03:57.181830	3.09E-001	2.82E-001
2022-02-15 10:21:01.191494	3.02E-001	2.83E-001
2022-02-15 10:38:05.201159	3.08E-001	2.92E-001
2022-02-15 10:55:09.210823	2.99E-001	2.96E-001
