# energy[MeV] # left, # center, # right, # mean spec for tdur of 104 hours; # background spec [cnt/cm2/sr/MeV/sec]
1.300000000000000000e+01 1.442220510185595650e+01 1.600000000000000000e+01 1.450847592518901682e-04 4.739913998714239685e-01
1.600000000000000000e+01 1.788854381999831489e+01 2.000000000000000000e+01 1.298643056108237184e-04 3.448577036322725831e-01
2.000000000000000000e+01 2.236067977499789450e+01 2.500000000000000000e+01 1.016661360923199479e-04 1.863312582770813575e-01
2.500000000000000000e+01 2.828427124746189847e+01 3.200000000000000000e+01 9.993036211699166615e-05 1.366158911925426100e-01
3.200000000000000000e+01 3.577708763999663688e+01 4.000000000000000000e+01 1.425095503382411521e-04 1.020174497910639744e-01
4.000000000000000000e+01 4.472135954999578900e+01 5.000000000000000000e+01 1.819470354158376731e-04 7.951812508839600779e-02
5.000000000000000000e+01 5.656854249492377562e+01 6.400000000000000000e+01 5.256175885395940458e-04 5.794958453873352844e-02
8.370000000000000284e+01 9.079895312499999704e+01 9.850000000000000000e+01 8.895165838371292761e-04 1.542668483308554800e-02
9.990000000000000568e+01 1.085734765625000051e+02 1.180000000000000000e+02 1.706482650906524911e-03 1.175635547257824175e-02
1.150000000000000000e+02 1.282380625000000123e+02 1.430000000000000000e+02 6.310589304292123962e-04 6.615720375000805863e-03
1.600000000000000000e+02 1.967739843749999977e+02 2.420000000000000000e+02 5.217302004380423375e-04 2.012001413271163625e-03
2.760000000000000000e+02 3.339221562500000005e+02 4.040000000000000000e+02 3.323821683228775446e-04 5.756708756867221595e-04
5.000000000000000000e+02 8.944271909999158652e+02 1.600000000000000000e+03 3.034286751178653214e-04 3.117812603781551419e-04
